ts,cwnd,rtx,txq,if,rcvd
0.020000,3000,0,2461,2463,0
0.040000,3000,0,2458,2463,0
0.060000,3000,0,2455,2463,0
0.080000,3000,0,2452,2463,0
0.100000,3000,0,2450,2463,0
0.120000,3000,0,2447,2463,0
0.140000,3000,0,2444,2463,0
0.160000,3000,0,2441,2463,0
0.180000,3000,0,2438,2463,0
0.200000,3000,0,2436,2463,0
0.220000,3000,0,2433,2463,0
0.240000,3000,0,2430,2463,0
0.260000,3000,0,2427,2463,0
0.280000,3000,0,2425,2463,0
0.300000,3000,0,2422,2463,0
0.320000,3000,0,2419,2463,0
0.340000,3000,0,2416,2463,0
0.360000,3000,0,2413,2463,0
0.380000,3000,0,2411,2463,0
0.400000,3000,0,2408,2463,0
0.420000,3000,0,2405,2463,0
0.440000,3000,0,2402,2463,0
0.460000,3000,0,2400,2463,0
0.480000,3000,0,2397,2463,0
0.500000,3000,0,2394,2463,0
0.520000,3000,0,2391,2463,0
0.540000,3000,0,2388,2463,0
0.560000,3000,0,2386,2463,0
0.580000,3000,0,2383,2463,0
0.600000,3000,0,2380,2463,0
0.620000,3000,0,2377,2463,0
0.640000,3000,0,2375,2463,0
0.660000,3000,0,2372,2463,0
0.680000,3000,0,2369,2463,0
0.700000,3000,0,2366,2463,0
0.720000,3000,0,2363,2463,0
0.740000,3000,0,2361,2463,0
0.760000,3000,0,2358,2463,0
0.780000,3000,0,2355,2463,0
0.800000,3000,0,2352,2463,0
0.820000,3000,0,2350,2463,0
0.840000,3000,0,2347,2463,0
0.860000,3000,0,2344,2463,0
0.880000,3000,0,2341,2463,0
0.900000,3000,0,2338,2463,0
0.920000,3000,0,2336,2463,0
0.940000,3000,0,2333,2463,0
0.960000,3000,0,2330,2463,0
0.980000,3000,0,2327,2463,0
1.000000,3000,0,2325,2463,0
1.020000,3000,0,2322,2463,0
1.040000,3000,0,2319,2463,0
1.060000,3000,0,2316,2463,0
1.080000,3000,0,2313,2463,0
1.100000,3000,0,2311,2463,0
1.120000,3000,0,2308,2463,0
1.140000,3000,0,2305,2463,0
1.160000,3000,0,2302,2463,0
1.180000,3000,0,2300,2463,0
1.200000,3000,0,2297,2463,0
1.220000,3000,0,2294,2463,0
1.240000,3000,0,2291,2463,0
1.260000,3000,0,2288,2463,0
1.280000,3000,0,2286,2463,0
1.300000,3000,0,2283,2463,0
1.320000,3000,0,2280,2463,0
1.340000,3000,0,2277,2463,0
1.360000,3000,0,2275,2463,0
1.380000,3000,0,2272,2463,0
1.400000,3000,0,2269,2463,0
1.420000,3000,0,2266,2463,0
1.440000,3000,0,2263,2463,0
1.460000,3000,0,2261,2463,0
1.480000,3000,0,2258,2463,0
1.500000,3000,0,2255,2463,0
1.520000,3000,0,2252,2463,0
1.540000,3000,0,2250,2463,0
1.560000,3000,0,2247,2463,0
1.580000,3000,0,2244,2463,0
1.600000,3000,0,2241,2463,0
1.620000,3000,0,2238,2463,0
1.640000,3000,0,2236,2463,0
1.660000,3000,0,2233,2463,0
1.680000,3000,0,2230,2463,0
1.700000,3000,0,2227,2463,0
1.720000,3000,0,2225,2463,0
1.740000,3000,0,2222,2463,0
1.760000,3000,0,2219,2463,0
1.780000,3000,0,2216,2463,0
1.800000,3000,0,2213,2463,0
1.820000,3000,0,2211,2463,0
1.840000,3000,0,2208,2463,0
1.860000,3000,0,2205,2463,0
1.880000,3000,0,2202,2463,0
1.900000,3000,0,2200,2463,0
1.920000,3000,0,2197,2463,0
1.940000,3000,0,2194,2463,0
1.960000,3000,0,2191,2463,0
1.980000,3000,0,2188,2463,0
2.000000,3000,0,2186,2463,0
2.020000,3000,0,2183,2463,0
2.040000,3000,0,2180,2463,0
2.060000,3000,0,2177,2463,0
2.080000,3000,0,2175,2463,0
2.100000,3000,0,2172,2463,0
2.120000,3000,0,2169,2463,0
2.140000,3000,0,2166,2463,0
2.160000,3000,0,2163,2463,0
2.180000,3000,0,2161,2463,0
2.200000,3000,0,2158,2463,0
2.220000,3000,0,2155,2463,0
2.240000,3000,0,2152,2463,0
2.260000,3000,0,2150,2463,0
2.280000,3000,0,2147,2463,0
2.300000,3000,0,2144,2463,0
2.320000,3000,0,2141,2463,0
2.340000,3000,0,2138,2463,0
2.360000,3000,0,2136,2463,0
2.380000,3000,0,2133,2463,0
2.400000,3000,0,2130,2463,0
2.420000,3000,0,2127,2463,0
2.440000,3000,0,2125,2463,0
2.460000,3000,0,2122,2463,0
2.480000,3000,0,2119,2463,0
2.500000,3000,0,2116,2463,0
2.520000,3000,0,2113,2463,0
2.540000,3000,0,2111,2463,0
2.560000,3000,0,2108,2463,0
2.580000,3000,0,2105,2463,0
2.600000,3000,0,2102,2463,0
2.620000,3000,0,2100,2463,0
2.640000,3000,0,2097,2463,0
2.660000,3000,0,2094,2463,0
2.680000,3000,0,2091,2463,0
2.700000,3000,0,2088,2463,0
2.720000,3000,0,2086,2463,0
2.740000,3000,0,2083,2463,0
2.760000,3000,0,2080,2463,0
2.780000,3000,0,2077,2463,0
2.800000,3000,0,2075,2463,0
2.820000,3000,0,2072,2463,0
2.840000,3000,0,2069,2463,0
2.860000,3000,0,2066,2463,0
2.880000,3000,0,2063,2463,0
2.900000,3000,0,2061,2463,0
2.920000,3000,0,2058,2463,0
2.940000,3000,0,2055,2463,0
2.960000,3000,0,2052,2463,0
2.980000,3000,0,2050,2463,0
3.000000,3000,0,2047,2463,0
3.020000,3000,0,2044,2463,0
3.040000,3000,0,2041,2463,0
3.060000,3000,0,2038,2463,0
3.080000,3000,0,2036,2463,0
3.100000,3000,0,2033,2463,0
3.120000,3000,0,2030,2463,0
3.140000,3000,0,2027,2463,0
3.160000,3000,0,2025,2463,0
3.180000,3000,0,2022,2463,0
3.200000,3000,0,2019,2463,0
3.220000,3000,0,2016,2463,0
3.240000,3000,0,2013,2463,0
3.260000,3000,0,2011,2463,0
3.280000,3000,0,2008,2463,0
3.300000,3000,0,2005,2463,0
3.320000,3000,0,2002,2463,0
3.340000,3000,0,2000,2463,0
3.360000,3000,0,1997,2463,0
3.380000,3000,0,1994,2463,0
3.400000,3000,0,1991,2463,0
3.420000,3000,0,1988,2463,0
3.440000,3000,0,1986,2463,0
